    0x20             SPACE
  0x1254  ቔ          ETHIOPIC SYLLABLE QHEE
  0x1255  ቕ          ETHIOPIC SYLLABLE QHE
  0x1256  ቖ          ETHIOPIC SYLLABLE QHO
  0x1258  ቘ          ETHIOPIC SYLLABLE QHWA
  0x125a  ቚ          ETHIOPIC SYLLABLE QHWI
  0x125b  ቛ          ETHIOPIC SYLLABLE QHWAA
  0x125c  ቜ          ETHIOPIC SYLLABLE QHWEE
  0x125d  ቝ          ETHIOPIC SYLLABLE QHWE
  0x1260  በ          ETHIOPIC SYLLABLE BA
  0x1261  ቡ          ETHIOPIC SYLLABLE BU
  0x1262  ቢ          ETHIOPIC SYLLABLE BI
  0x1263  ባ          ETHIOPIC SYLLABLE BAA
  0x1264  ቤ          ETHIOPIC SYLLABLE BEE
  0x1265  ብ          ETHIOPIC SYLLABLE BE
  0x1266  ቦ          ETHIOPIC SYLLABLE BO
  0x1267  ቧ          ETHIOPIC SYLLABLE BWA
  0x1268  ቨ          ETHIOPIC SYLLABLE VA
  0x1269  ቩ          ETHIOPIC SYLLABLE VU
  0x126a  ቪ          ETHIOPIC SYLLABLE VI
  0x126b  ቫ          ETHIOPIC SYLLABLE VAA
  0x126c  ቬ          ETHIOPIC SYLLABLE VEE
  0x126d  ቭ          ETHIOPIC SYLLABLE VE
  0x126e  ቮ          ETHIOPIC SYLLABLE VO
  0x126f  ቯ          ETHIOPIC SYLLABLE VWA
  0x1270  ተ          ETHIOPIC SYLLABLE TA
  0x1271  ቱ          ETHIOPIC SYLLABLE TU
  0x1272  ቲ          ETHIOPIC SYLLABLE TI
  0x1273  ታ          ETHIOPIC SYLLABLE TAA
  0x1274  ቴ          ETHIOPIC SYLLABLE TEE
  0x1275  ት          ETHIOPIC SYLLABLE TE
  0x1276  ቶ          ETHIOPIC SYLLABLE TO
  0x1277  ቷ          ETHIOPIC SYLLABLE TWA
  0x1278  ቸ          ETHIOPIC SYLLABLE CA
  0x1279  ቹ          ETHIOPIC SYLLABLE CU
  0x127a  ቺ          ETHIOPIC SYLLABLE CI
  0x127b  ቻ          ETHIOPIC SYLLABLE CAA
  0x127c  ቼ          ETHIOPIC SYLLABLE CEE
  0x127d  ች          ETHIOPIC SYLLABLE CE
  0x127e  ቾ          ETHIOPIC SYLLABLE CO
  0x127f  ቿ          ETHIOPIC SYLLABLE CWA
  0x1280  ኀ          ETHIOPIC SYLLABLE XA
  0x1281  ኁ          ETHIOPIC SYLLABLE XU
  0x1282  ኂ          ETHIOPIC SYLLABLE XI
  0x1283  ኃ          ETHIOPIC SYLLABLE XAA
  0x1284  ኄ          ETHIOPIC SYLLABLE XEE
  0x1285  ኅ          ETHIOPIC SYLLABLE XE
  0x1286  ኆ          ETHIOPIC SYLLABLE XO
  0x1287  ኇ          ETHIOPIC SYLLABLE XOA
  0x1288  ኈ          ETHIOPIC SYLLABLE XWA
  0x128a  ኊ          ETHIOPIC SYLLABLE XWI
  0x128b  ኋ          ETHIOPIC SYLLABLE XWAA
  0x128c  ኌ          ETHIOPIC SYLLABLE XWEE
  0x128d  ኍ          ETHIOPIC SYLLABLE XWE
  0x1290  ነ          ETHIOPIC SYLLABLE NA
  0x1291  ኑ          ETHIOPIC SYLLABLE NU
  0x1292  ኒ          ETHIOPIC SYLLABLE NI
  0x1293  ና          ETHIOPIC SYLLABLE NAA
  0x1294  ኔ          ETHIOPIC SYLLABLE NEE
  0x1295  ን          ETHIOPIC SYLLABLE NE
  0x1296  ኖ          ETHIOPIC SYLLABLE NO
  0x1297  ኗ          ETHIOPIC SYLLABLE NWA
  0x1298  ኘ          ETHIOPIC SYLLABLE NYA
  0x1299  ኙ          ETHIOPIC SYLLABLE NYU
  0x129a  ኚ          ETHIOPIC SYLLABLE NYI
  0x129b  ኛ          ETHIOPIC SYLLABLE NYAA
  0x129c  ኜ          ETHIOPIC SYLLABLE NYEE
  0x129d  ኝ          ETHIOPIC SYLLABLE NYE
  0x129e  ኞ          ETHIOPIC SYLLABLE NYO
  0x129f  ኟ          ETHIOPIC SYLLABLE NYWA
  0x12a0  አ          ETHIOPIC SYLLABLE GLOTTAL A
  0x12a1  ኡ          ETHIOPIC SYLLABLE GLOTTAL U
  0x12a2  ኢ          ETHIOPIC SYLLABLE GLOTTAL I
  0x12a3  ኣ          ETHIOPIC SYLLABLE GLOTTAL AA
  0x12a4  ኤ          ETHIOPIC SYLLABLE GLOTTAL EE
  0x12a5  እ          ETHIOPIC SYLLABLE GLOTTAL E
  0x12a6  ኦ          ETHIOPIC SYLLABLE GLOTTAL O
  0x12a7  ኧ          ETHIOPIC SYLLABLE GLOTTAL WA
  0x12a8  ከ          ETHIOPIC SYLLABLE KA
  0x12a9  ኩ          ETHIOPIC SYLLABLE KU
  0x12aa  ኪ          ETHIOPIC SYLLABLE KI
  0x12ab  ካ          ETHIOPIC SYLLABLE KAA
  0x12ac  ኬ          ETHIOPIC SYLLABLE KEE
  0x12ad  ክ          ETHIOPIC SYLLABLE KE
  0x12ae  ኮ          ETHIOPIC SYLLABLE KO
  0x12af  ኯ          ETHIOPIC SYLLABLE KOA
  0x12b0  ኰ          ETHIOPIC SYLLABLE KWA
  0x12b2  ኲ          ETHIOPIC SYLLABLE KWI
  0x12b3  ኳ          ETHIOPIC SYLLABLE KWAA
  0x12b4  ኴ          ETHIOPIC SYLLABLE KWEE
  0x12b5  ኵ          ETHIOPIC SYLLABLE KWE
  0x12b8  ኸ          ETHIOPIC SYLLABLE KXA
  0x12b9  ኹ          ETHIOPIC SYLLABLE KXU
  0x12ba  ኺ          ETHIOPIC SYLLABLE KXI
  0x12bb  ኻ          ETHIOPIC SYLLABLE KXAA
  0x12bc  ኼ          ETHIOPIC SYLLABLE KXEE
  0x12bd  ኽ          ETHIOPIC SYLLABLE KXE
  0x12be  ኾ          ETHIOPIC SYLLABLE KXO
  0x12c0  ዀ          ETHIOPIC SYLLABLE KXWA
  0x12c2  ዂ          ETHIOPIC SYLLABLE KXWI
  0x12c3  ዃ          ETHIOPIC SYLLABLE KXWAA
  0x12c4  ዄ          ETHIOPIC SYLLABLE KXWEE
  0x12c5  ዅ          ETHIOPIC SYLLABLE KXWE
  0x12c8  ወ          ETHIOPIC SYLLABLE WA
  0x12c9  ዉ          ETHIOPIC SYLLABLE WU
  0x12ca  ዊ          ETHIOPIC SYLLABLE WI
  0x12cb  ዋ          ETHIOPIC SYLLABLE WAA
  0x12cc  ዌ          ETHIOPIC SYLLABLE WEE
  0x12cd  ው          ETHIOPIC SYLLABLE WE
  0x12ce  ዎ          ETHIOPIC SYLLABLE WO
  0x12cf  ዏ          ETHIOPIC SYLLABLE WOA
  0x12d0  ዐ          ETHIOPIC SYLLABLE PHARYNGEAL A
  0x12d1  ዑ          ETHIOPIC SYLLABLE PHARYNGEAL U
  0x12d2  ዒ          ETHIOPIC SYLLABLE PHARYNGEAL I
  0x12d3  ዓ          ETHIOPIC SYLLABLE PHARYNGEAL AA
  0x12d4  ዔ          ETHIOPIC SYLLABLE PHARYNGEAL EE
  0x12d5  ዕ          ETHIOPIC SYLLABLE PHARYNGEAL E
  0x12d6  ዖ          ETHIOPIC SYLLABLE PHARYNGEAL O
  0x12d8  ዘ          ETHIOPIC SYLLABLE ZA
  0x12d9  ዙ          ETHIOPIC SYLLABLE ZU
  0x12da  ዚ          ETHIOPIC SYLLABLE ZI
  0x12db  ዛ          ETHIOPIC SYLLABLE ZAA
  0x12dc  ዜ          ETHIOPIC SYLLABLE ZEE
  0x12dd  ዝ          ETHIOPIC SYLLABLE ZE
  0x12de  ዞ          ETHIOPIC SYLLABLE ZO
  0x12df  ዟ          ETHIOPIC SYLLABLE ZWA
  0x12e0  ዠ          ETHIOPIC SYLLABLE ZHA
  0x12e1  ዡ          ETHIOPIC SYLLABLE ZHU
  0x12e2  ዢ          ETHIOPIC SYLLABLE ZHI
  0x12e3  ዣ          ETHIOPIC SYLLABLE ZHAA
  0x12e4  ዤ          ETHIOPIC SYLLABLE ZHEE
  0x12e5  ዥ          ETHIOPIC SYLLABLE ZHE
  0x12e6  ዦ          ETHIOPIC SYLLABLE ZHO
  0x12e7  ዧ          ETHIOPIC SYLLABLE ZHWA
  0x12e8  የ          ETHIOPIC SYLLABLE YA
  0x12e9  ዩ          ETHIOPIC SYLLABLE YU
  0x12ea  ዪ          ETHIOPIC SYLLABLE YI
  0x12eb  ያ          ETHIOPIC SYLLABLE YAA
  0x12ec  ዬ          ETHIOPIC SYLLABLE YEE
  0x12ed  ይ          ETHIOPIC SYLLABLE YE
  0x12ee  ዮ          ETHIOPIC SYLLABLE YO
  0x12ef  ዯ          ETHIOPIC SYLLABLE YOA
  0x12f0  ደ          ETHIOPIC SYLLABLE DA
  0x12f1  ዱ          ETHIOPIC SYLLABLE DU
  0x12f2  ዲ          ETHIOPIC SYLLABLE DI
  0x12f3  ዳ          ETHIOPIC SYLLABLE DAA
  0x12f4  ዴ          ETHIOPIC SYLLABLE DEE
  0x12f5  ድ          ETHIOPIC SYLLABLE DE
  0x12f6  ዶ          ETHIOPIC SYLLABLE DO
  0x12f7  ዷ          ETHIOPIC SYLLABLE DWA
  0x12f8  ዸ          ETHIOPIC SYLLABLE DDA
  0x12f9  ዹ          ETHIOPIC SYLLABLE DDU
  0x12fa  ዺ          ETHIOPIC SYLLABLE DDI
  0x12fb  ዻ          ETHIOPIC SYLLABLE DDAA
  0x12fc  ዼ          ETHIOPIC SYLLABLE DDEE
  0x12fd  ዽ          ETHIOPIC SYLLABLE DDE
  0x12fe  ዾ          ETHIOPIC SYLLABLE DDO
  0x12ff  ዿ          ETHIOPIC SYLLABLE DDWA
  0x1300  ጀ          ETHIOPIC SYLLABLE JA
  0x1301  ጁ          ETHIOPIC SYLLABLE JU
  0x1302  ጂ          ETHIOPIC SYLLABLE JI
  0x1303  ጃ          ETHIOPIC SYLLABLE JAA
  0x1304  ጄ          ETHIOPIC SYLLABLE JEE
  0x1305  ጅ          ETHIOPIC SYLLABLE JE
  0x1306  ጆ          ETHIOPIC SYLLABLE JO
  0x1307  ጇ          ETHIOPIC SYLLABLE JWA
  0x1308  ገ          ETHIOPIC SYLLABLE GA
  0x1309  ጉ          ETHIOPIC SYLLABLE GU
  0x130a  ጊ          ETHIOPIC SYLLABLE GI
  0x130b  ጋ          ETHIOPIC SYLLABLE GAA
  0x130c  ጌ          ETHIOPIC SYLLABLE GEE
  0x130d  ግ          ETHIOPIC SYLLABLE GE
  0x130e  ጎ          ETHIOPIC SYLLABLE GO
  0x130f  ጏ          ETHIOPIC SYLLABLE GOA
  0x1310  ጐ          ETHIOPIC SYLLABLE GWA
  0x1312  ጒ          ETHIOPIC SYLLABLE GWI
  0x1313  ጓ          ETHIOPIC SYLLABLE GWAA
  0x1314  ጔ          ETHIOPIC SYLLABLE GWEE
  0x1315  ጕ          ETHIOPIC SYLLABLE GWE
  0x1318  ጘ          ETHIOPIC SYLLABLE GGA
  0x1319  ጙ          ETHIOPIC SYLLABLE GGU
  0x131a  ጚ          ETHIOPIC SYLLABLE GGI
  0x131b  ጛ          ETHIOPIC SYLLABLE GGAA
  0x131c  ጜ          ETHIOPIC SYLLABLE GGEE
  0x131d  ጝ          ETHIOPIC SYLLABLE GGE
  0x131e  ጞ          ETHIOPIC SYLLABLE GGO
  0x131f  ጟ          ETHIOPIC SYLLABLE GGWAA
  0x1320  ጠ          ETHIOPIC SYLLABLE THA
  0x1321  ጡ          ETHIOPIC SYLLABLE THU
  0x1322  ጢ          ETHIOPIC SYLLABLE THI
  0x1323  ጣ          ETHIOPIC SYLLABLE THAA
  0x1324  ጤ          ETHIOPIC SYLLABLE THEE
  0x1325  ጥ          ETHIOPIC SYLLABLE THE
  0x1326  ጦ          ETHIOPIC SYLLABLE THO
  0x1327  ጧ          ETHIOPIC SYLLABLE THWA
  0x1328  ጨ          ETHIOPIC SYLLABLE CHA
  0x1329  ጩ          ETHIOPIC SYLLABLE CHU
  0x132a  ጪ          ETHIOPIC SYLLABLE CHI
  0x132b  ጫ          ETHIOPIC SYLLABLE CHAA
  0x132c  ጬ          ETHIOPIC SYLLABLE CHEE
  0x132d  ጭ          ETHIOPIC SYLLABLE CHE
  0x132e  ጮ          ETHIOPIC SYLLABLE CHO
  0x132f  ጯ          ETHIOPIC SYLLABLE CHWA
  0x1330  ጰ          ETHIOPIC SYLLABLE PHA
  0x1331  ጱ          ETHIOPIC SYLLABLE PHU
  0x1332  ጲ          ETHIOPIC SYLLABLE PHI
  0x1333  ጳ          ETHIOPIC SYLLABLE PHAA
  0x1334  ጴ          ETHIOPIC SYLLABLE PHEE
  0x1335  ጵ          ETHIOPIC SYLLABLE PHE
  0x1336  ጶ          ETHIOPIC SYLLABLE PHO
  0x1337  ጷ          ETHIOPIC SYLLABLE PHWA
  0x1338  ጸ          ETHIOPIC SYLLABLE TSA
  0x1339  ጹ          ETHIOPIC SYLLABLE TSU
  0x133a  ጺ          ETHIOPIC SYLLABLE TSI
  0x133b  ጻ          ETHIOPIC SYLLABLE TSAA
  0x133c  ጼ          ETHIOPIC SYLLABLE TSEE
  0x133d  ጽ          ETHIOPIC SYLLABLE TSE
  0x133e  ጾ          ETHIOPIC SYLLABLE TSO
  0x133f  ጿ          ETHIOPIC SYLLABLE TSWA
  0x1340  ፀ          ETHIOPIC SYLLABLE TZA
  0x1341  ፁ          ETHIOPIC SYLLABLE TZU
  0x1342  ፂ          ETHIOPIC SYLLABLE TZI
  0x1343  ፃ          ETHIOPIC SYLLABLE TZAA
  0x1344  ፄ          ETHIOPIC SYLLABLE TZEE
  0x1345  ፅ          ETHIOPIC SYLLABLE TZE
  0x1346  ፆ          ETHIOPIC SYLLABLE TZO
  0x1347  ፇ          ETHIOPIC SYLLABLE TZOA
  0x1348  ፈ          ETHIOPIC SYLLABLE FA
  0x1349  ፉ          ETHIOPIC SYLLABLE FU
  0x134a  ፊ          ETHIOPIC SYLLABLE FI
  0x134b  ፋ          ETHIOPIC SYLLABLE FAA
  0x134c  ፌ          ETHIOPIC SYLLABLE FEE
  0x134d  ፍ          ETHIOPIC SYLLABLE FE
  0x134e  ፎ          ETHIOPIC SYLLABLE FO
  0x134f  ፏ          ETHIOPIC SYLLABLE FWA
  0x1350  ፐ          ETHIOPIC SYLLABLE PA
  0x1351  ፑ          ETHIOPIC SYLLABLE PU
  0x1352  ፒ          ETHIOPIC SYLLABLE PI
  0x1353  ፓ          ETHIOPIC SYLLABLE PAA
  0x1354  ፔ          ETHIOPIC SYLLABLE PEE
  0x1355  ፕ          ETHIOPIC SYLLABLE PE
  0x1356  ፖ          ETHIOPIC SYLLABLE PO
  0x1357  ፗ          ETHIOPIC SYLLABLE PWA
  0x1358  ፘ          ETHIOPIC SYLLABLE RYA
  0x1359  ፙ          ETHIOPIC SYLLABLE MYA
  0x135a  ፚ          ETHIOPIC SYLLABLE FYA
  0x135d  ፝          ETHIOPIC COMBINING GEMINATION AND VOWEL LENGTH MARK
  0x135e  ፞          ETHIOPIC COMBINING VOWEL LENGTH MARK
  0x135f  ፟          ETHIOPIC COMBINING GEMINATION MARK
  0x1360  ፠          ETHIOPIC SECTION MARK
  0x1361  ፡          ETHIOPIC WORDSPACE
  0x1362  ።          ETHIOPIC FULL STOP
  0x1363  ፣          ETHIOPIC COMMA
  0x1364  ፤          ETHIOPIC SEMICOLON
  0x1365  ፥          ETHIOPIC COLON
  0x1366  ፦          ETHIOPIC PREFACE COLON
  0x1367  ፧          ETHIOPIC QUESTION MARK
  0x1368  ፨          ETHIOPIC PARAGRAPH SEPARATOR
  0x1369  ፩          ETHIOPIC DIGIT ONE
  0x136a  ፪          ETHIOPIC DIGIT TWO
  0x136b  ፫          ETHIOPIC DIGIT THREE
  0x136c  ፬          ETHIOPIC DIGIT FOUR
  0x136d  ፭          ETHIOPIC DIGIT FIVE
  0x136e  ፮          ETHIOPIC DIGIT SIX
  0x136f  ፯          ETHIOPIC DIGIT SEVEN
  0x1370  ፰          ETHIOPIC DIGIT EIGHT
  0x1371  ፱          ETHIOPIC DIGIT NINE
  0x1372  ፲          ETHIOPIC NUMBER TEN
  0x1373  ፳          ETHIOPIC NUMBER TWENTY
  0x1374  ፴          ETHIOPIC NUMBER THIRTY
  0x1375  ፵          ETHIOPIC NUMBER FORTY
  0x1376  ፶          ETHIOPIC NUMBER FIFTY
  0x1377  ፷          ETHIOPIC NUMBER SIXTY
  0x1378  ፸          ETHIOPIC NUMBER SEVENTY
  0x1379  ፹          ETHIOPIC NUMBER EIGHTY
  0x137a  ፺          ETHIOPIC NUMBER NINETY
  0x137b  ፻          ETHIOPIC NUMBER HUNDRED
  0x137c  ፼          ETHIOPIC NUMBER TEN THOUSAND
  0x1380  ᎀ          ETHIOPIC SYLLABLE SEBATBEIT MWA
  0x1381  ᎁ          ETHIOPIC SYLLABLE MWI
  0x1382  ᎂ          ETHIOPIC SYLLABLE MWEE
  0x1383  ᎃ          ETHIOPIC SYLLABLE MWE
  0x1384  ᎄ          ETHIOPIC SYLLABLE SEBATBEIT BWA
  0x1385  ᎅ          ETHIOPIC SYLLABLE BWI
  0x1386  ᎆ          ETHIOPIC SYLLABLE BWEE
  0x1387  ᎇ          ETHIOPIC SYLLABLE BWE
  0x1388  ᎈ          ETHIOPIC SYLLABLE SEBATBEIT FWA
  0x1389  ᎉ          ETHIOPIC SYLLABLE FWI
  0x138a  ᎊ          ETHIOPIC SYLLABLE FWEE
  0x138b  ᎋ          ETHIOPIC SYLLABLE FWE
  0x138c  ᎌ          ETHIOPIC SYLLABLE SEBATBEIT PWA
  0x138d  ᎍ          ETHIOPIC SYLLABLE PWI
  0x138e  ᎎ          ETHIOPIC SYLLABLE PWEE
  0x138f  ᎏ          ETHIOPIC SYLLABLE PWE
  0x1390  ᎐          ETHIOPIC TONAL MARK YIZET
  0x1391  ᎑          ETHIOPIC TONAL MARK DERET
  0x1392  ᎒          ETHIOPIC TONAL MARK RIKRIK
  0x1393  ᎓          ETHIOPIC TONAL MARK SHORT RIKRIK
  0x1394  ᎔          ETHIOPIC TONAL MARK DIFAT
  0x1395  ᎕          ETHIOPIC TONAL MARK KENAT
  0x1396  ᎖          ETHIOPIC TONAL MARK CHIRET
  0x1397  ᎗          ETHIOPIC TONAL MARK HIDET
  0x1398  ᎘          ETHIOPIC TONAL MARK DERET-HIDET
  0x1399  ᎙          ETHIOPIC TONAL MARK KURT
  0x13a0  Ꭰ          CHEROKEE LETTER A
  0x13a1  Ꭱ          CHEROKEE LETTER E
  0x13a2  Ꭲ          CHEROKEE LETTER I
  0x13a3  Ꭳ          CHEROKEE LETTER O
  0x13a4  Ꭴ          CHEROKEE LETTER U
  0x13a5  Ꭵ          CHEROKEE LETTER V
  0x13a6  Ꭶ          CHEROKEE LETTER GA
  0x13a7  Ꭷ          CHEROKEE LETTER KA
  0x13a8  Ꭸ          CHEROKEE LETTER GE
  0x13a9  Ꭹ          CHEROKEE LETTER GI
  0x13aa  Ꭺ          CHEROKEE LETTER GO
  0x13ab  Ꭻ          CHEROKEE LETTER GU
  0x13ac  Ꭼ          CHEROKEE LETTER GV
  0x13ad  Ꭽ          CHEROKEE LETTER HA
  0x13ae  Ꭾ          CHEROKEE LETTER HE
  0x13af  Ꭿ          CHEROKEE LETTER HI
  0x13b0  Ꮀ          CHEROKEE LETTER HO
  0x13b1  Ꮁ          CHEROKEE LETTER HU
  0x13b2  Ꮂ          CHEROKEE LETTER HV
  0x13b3  Ꮃ          CHEROKEE LETTER LA
  0x13b4  Ꮄ          CHEROKEE LETTER LE
  0x13b5  Ꮅ          CHEROKEE LETTER LI
  0x13b6  Ꮆ          CHEROKEE LETTER LO
  0x13b7  Ꮇ          CHEROKEE LETTER LU
  0x13b8  Ꮈ          CHEROKEE LETTER LV
  0x13b9  Ꮉ          CHEROKEE LETTER MA
  0x13ba  Ꮊ          CHEROKEE LETTER ME
  0x13bb  Ꮋ          CHEROKEE LETTER MI
  0x13bc  Ꮌ          CHEROKEE LETTER MO
  0x13bd  Ꮍ          CHEROKEE LETTER MU
  0x13be  Ꮎ          CHEROKEE LETTER NA
  0x13bf  Ꮏ          CHEROKEE LETTER HNA
  0x13c0  Ꮐ          CHEROKEE LETTER NAH
  0x13c1  Ꮑ          CHEROKEE LETTER NE
  0x13c2  Ꮒ          CHEROKEE LETTER NI
  0x13c3  Ꮓ          CHEROKEE LETTER NO
  0x13c4  Ꮔ          CHEROKEE LETTER NU
  0x13c5  Ꮕ          CHEROKEE LETTER NV
  0x13c6  Ꮖ          CHEROKEE LETTER QUA
  0x13c7  Ꮗ          CHEROKEE LETTER QUE
  0x13c8  Ꮘ          CHEROKEE LETTER QUI
  0x13c9  Ꮙ          CHEROKEE LETTER QUO
  0x13ca  Ꮚ          CHEROKEE LETTER QUU
  0x13cb  Ꮛ          CHEROKEE LETTER QUV
  0x13cc  Ꮜ          CHEROKEE LETTER SA
  0x13cd  Ꮝ          CHEROKEE LETTER S
  0x13ce  Ꮞ          CHEROKEE LETTER SE
  0x13cf  Ꮟ          CHEROKEE LETTER SI
  0x13d0  Ꮠ          CHEROKEE LETTER SO
  0x13d1  Ꮡ          CHEROKEE LETTER SU
  0x13d2  Ꮢ          CHEROKEE LETTER SV
  0x13d3  Ꮣ          CHEROKEE LETTER DA
  0x13d4  Ꮤ          CHEROKEE LETTER TA
  0x13d5  Ꮥ          CHEROKEE LETTER DE
  0x13d6  Ꮦ          CHEROKEE LETTER TE
  0x13d7  Ꮧ          CHEROKEE LETTER DI
  0x13d8  Ꮨ          CHEROKEE LETTER TI
  0x13d9  Ꮩ          CHEROKEE LETTER DO
  0x13da  Ꮪ          CHEROKEE LETTER DU
  0x13db  Ꮫ          CHEROKEE LETTER DV
  0x13dc  Ꮬ          CHEROKEE LETTER DLA
  0x13dd  Ꮭ          CHEROKEE LETTER TLA
  0x13de  Ꮮ          CHEROKEE LETTER TLE
  0x13df  Ꮯ          CHEROKEE LETTER TLI
  0x13e0  Ꮰ          CHEROKEE LETTER TLO
  0x13e1  Ꮱ          CHEROKEE LETTER TLU
  0x13e2  Ꮲ          CHEROKEE LETTER TLV
  0x13e3  Ꮳ          CHEROKEE LETTER TSA
  0x13e4  Ꮴ          CHEROKEE LETTER TSE
  0x13e5  Ꮵ          CHEROKEE LETTER TSI
  0x13e6  Ꮶ          CHEROKEE LETTER TSO
  0x13e7  Ꮷ          CHEROKEE LETTER TSU
  0x13e8  Ꮸ          CHEROKEE LETTER TSV
  0x13e9  Ꮹ          CHEROKEE LETTER WA
  0x13ea  Ꮺ          CHEROKEE LETTER WE
  0x13eb  Ꮻ          CHEROKEE LETTER WI
  0x13ec  Ꮼ          CHEROKEE LETTER WO
  0x13ed  Ꮽ          CHEROKEE LETTER WU
  0x13ee  Ꮾ          CHEROKEE LETTER WV
  0x13ef  Ꮿ          CHEROKEE LETTER YA
  0x13f0  Ᏸ          CHEROKEE LETTER YE
  0x13f1  Ᏹ          CHEROKEE LETTER YI
  0x13f2  Ᏺ          CHEROKEE LETTER YO
  0x13f3  Ᏻ          CHEROKEE LETTER YU
  0x13f4  Ᏼ          CHEROKEE LETTER YV
  0x1400  ᐀          CANADIAN SYLLABICS HYPHEN
  0x1401  ᐁ          CANADIAN SYLLABICS E
  0x1402  ᐂ          CANADIAN SYLLABICS AAI
  0x1403  ᐃ          CANADIAN SYLLABICS I
  0x1404  ᐄ          CANADIAN SYLLABICS II
  0x1405  ᐅ          CANADIAN SYLLABICS O
  0x1406  ᐆ          CANADIAN SYLLABICS OO
  0x1407  ᐇ          CANADIAN SYLLABICS Y-CREE OO
  0x1408  ᐈ          CANADIAN SYLLABICS CARRIER EE
  0x1409  ᐉ          CANADIAN SYLLABICS CARRIER I
  0x140a  ᐊ          CANADIAN SYLLABICS A
  0x140b  ᐋ          CANADIAN SYLLABICS AA
  0x140c  ᐌ          CANADIAN SYLLABICS WE
  0x140d  ᐍ          CANADIAN SYLLABICS WEST-CREE WE
  0x140e  ᐎ          CANADIAN SYLLABICS WI
  0x140f  ᐏ          CANADIAN SYLLABICS WEST-CREE WI
  0x1410  ᐐ          CANADIAN SYLLABICS WII
  0x1411  ᐑ          CANADIAN SYLLABICS WEST-CREE WII
  0x1412  ᐒ          CANADIAN SYLLABICS WO
  0x1413  ᐓ          CANADIAN SYLLABICS WEST-CREE WO
  0x1414  ᐔ          CANADIAN SYLLABICS WOO
  0x1415  ᐕ          CANADIAN SYLLABICS WEST-CREE WOO
  0x1416  ᐖ          CANADIAN SYLLABICS NASKAPI WOO
  0x1417  ᐗ          CANADIAN SYLLABICS WA
  0x1418  ᐘ          CANADIAN SYLLABICS WEST-CREE WA
  0x1419  ᐙ          CANADIAN SYLLABICS WAA
  0x141a  ᐚ          CANADIAN SYLLABICS WEST-CREE WAA
  0x141b  ᐛ          CANADIAN SYLLABICS NASKAPI WAA
  0x141c  ᐜ          CANADIAN SYLLABICS AI
  0x141d  ᐝ          CANADIAN SYLLABICS Y-CREE W
  0x141e  ᐞ          CANADIAN SYLLABICS GLOTTAL STOP
  0x141f  ᐟ          CANADIAN SYLLABICS FINAL ACUTE
  0x1420  ᐠ          CANADIAN SYLLABICS FINAL GRAVE
  0x1421  ᐡ          CANADIAN SYLLABICS FINAL BOTTOM HALF RING
  0x1422  ᐢ          CANADIAN SYLLABICS FINAL TOP HALF RING
  0x1423  ᐣ          CANADIAN SYLLABICS FINAL RIGHT HALF RING
  0x1424  ᐤ          CANADIAN SYLLABICS FINAL RING
  0x1425  ᐥ          CANADIAN SYLLABICS FINAL DOUBLE ACUTE
  0x1426  ᐦ          CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES
  0x1427  ᐧ          CANADIAN SYLLABICS FINAL MIDDLE DOT
  0x1428  ᐨ          CANADIAN SYLLABICS FINAL SHORT HORIZONTAL STROKE
  0x1429  ᐩ          CANADIAN SYLLABICS FINAL PLUS
  0x142a  ᐪ          CANADIAN SYLLABICS FINAL DOWN TACK
  0x142b  ᐫ          CANADIAN SYLLABICS EN
  0x142c  ᐬ          CANADIAN SYLLABICS IN
  0x142d  ᐭ          CANADIAN SYLLABICS ON
  0x142e  ᐮ          CANADIAN SYLLABICS AN
  0x142f  ᐯ          CANADIAN SYLLABICS PE
  0x1430  ᐰ          CANADIAN SYLLABICS PAAI
  0x1431  ᐱ          CANADIAN SYLLABICS PI
  0x1432  ᐲ          CANADIAN SYLLABICS PII
  0x1433  ᐳ          CANADIAN SYLLABICS PO
  0x1434  ᐴ          CANADIAN SYLLABICS POO
  0x1435  ᐵ          CANADIAN SYLLABICS Y-CREE POO
  0x1436  ᐶ          CANADIAN SYLLABICS CARRIER HEE
  0x1437  ᐷ          CANADIAN SYLLABICS CARRIER HI
  0x1438  ᐸ          CANADIAN SYLLABICS PA
  0x1439  ᐹ          CANADIAN SYLLABICS PAA
  0x143a  ᐺ          CANADIAN SYLLABICS PWE
  0x143b  ᐻ          CANADIAN SYLLABICS WEST-CREE PWE
  0x143c  ᐼ          CANADIAN SYLLABICS PWI
  0x143d  ᐽ          CANADIAN SYLLABICS WEST-CREE PWI
  0x143e  ᐾ          CANADIAN SYLLABICS PWII
  0x143f  ᐿ          CANADIAN SYLLABICS WEST-CREE PWII
  0x1440  ᑀ          CANADIAN SYLLABICS PWO
  0x1441  ᑁ          CANADIAN SYLLABICS WEST-CREE PWO
  0x1442  ᑂ          CANADIAN SYLLABICS PWOO
  0x1443  ᑃ          CANADIAN SYLLABICS WEST-CREE PWOO
  0x1444  ᑄ          CANADIAN SYLLABICS PWA
  0x1445  ᑅ          CANADIAN SYLLABICS WEST-CREE PWA
  0x1446  ᑆ          CANADIAN SYLLABICS PWAA
  0x1447  ᑇ          CANADIAN SYLLABICS WEST-CREE PWAA
